scenario_label,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,total_dispatch_down_mwh,wind_dispatch_down_mwh,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_power_mw,battery_nameplate_energy_mwh,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_efc_week,battery_max_daily_efc,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,battery_success_mode,battery_recovery_target,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,effective_success_mode,criterion_success,combined_success,battery_scale_vs_q2
wind_proxy_DLR_plus_battery_scale_0.4410,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2727.5026623703397,2727.5026623703397,0.0,933.087610432407,933.087610432407,0.0,588.6138986380738,100.0,-231.6017970355897,1.5852286406953195,-0.28630828501728833,-0.28630828501728833,-28.630828501728832,0.0,31.0,31.0,100.0,58.909500041528396,121.2195792084242,1.095551488386187,1.2795012677194428,37.485,136.71,87.49440000000001,687.303764682953,618.5733882146577,1305.8771528976108,7.462632767912064,2.208339486506847,10.0,29.054388965976973,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.441
wind_proxy_DLR_plus_battery_scale_0.4420,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2726.7902664825624,2726.7902664825624,0.0,933.8000063201844,933.8000063201844,0.0,588.6138986380738,100.0,-230.88940114781144,1.5864389347257963,-0.28542761462744753,-0.28542761462744753,-28.542761462744753,0.0,31.0,31.0,100.0,58.91203925569386,121.2195792084242,1.095551488386187,1.2795012677194428,37.57,137.02,87.69280000000002,688.5652925333229,619.7087632799905,1308.2740558133135,7.459415458357546,2.2069658367926155,10.0,29.056993964393005,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.442
wind_proxy_DLR_plus_battery_scale_0.4430,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2726.077870594785,2726.077870594785,0.0,934.5124022079617,934.5124022079617,0.0,588.6138986380738,100.0,-230.17700526003318,1.5876492287562731,-0.28454694423760674,-0.28454694423760674,-28.454694423760674,0.0,31.0,31.0,100.0,58.914578469859315,121.2195792084242,1.095551488386187,1.2795012677194428,37.655,137.33,87.89120000000003,689.8268203836928,620.8441383453235,1310.6709587290163,7.456212673902598,2.2055983886572297,10.000000000000002,29.059587202093844,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.443
wind_proxy_DLR_plus_battery_scale_0.4440,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2725.3654747070073,2725.3654747070077,0.0,935.2247980957391,935.2247980957395,0.0,588.6138986380738,100.0,-229.46460937225856,1.5888595227867508,-0.28366627384777043,-0.28366627384777043,-28.366627384777043,0.0,31.0,31.0,100.0,58.91711768402478,121.2195792084242,1.095551488386187,1.2795012677194428,37.74,137.64000000000001,88.08960000000002,691.0883482340626,621.9795134106564,1313.067861644719,7.453024316404653,2.20423710019813,10.0,29.06216875854377,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.444
wind_proxy_DLR_plus_battery_scale_0.4450,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2724.65307881923,2724.6530788192304,0.0,935.9371939835164,935.9371939835169,0.0,588.6138986380738,100.0,-228.7522134844803,1.5900698168172276,-0.28278560345792964,-0.28278560345792964,-28.278560345792965,0.0,31.0,31.0,100.0,58.91965689819023,121.2195792084242,1.095551488386187,1.2795012677194428,37.825,137.95,88.28800000000001,692.3498760844325,623.1148884759893,1315.4647645604218,7.44985028860333,2.2028819298894082,10.000000000000002,29.06473871249281,90.00000000000003,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.445
wind_proxy_DLR_plus_battery_scale_0.4460,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2723.940682931453,2723.940682931453,0.0,936.6495898712938,936.6495898712938,0.0,588.6138986380738,100.0,-228.0398175967057,1.5912801108477035,-0.28190493306809333,-0.28190493306809333,-28.190493306809334,0.0,31.0,31.0,100.0,58.92219611235569,121.2195792084242,1.095551488386187,1.2795012677194428,37.910000000000004,138.26,88.4864,693.6114039348023,624.2502635413222,1317.8616674761245,7.446690494110532,2.2015328365775857,10.0,29.06729714198467,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.446
wind_proxy_DLR_plus_battery_scale_0.4470,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2723.2282870436757,2723.228287043675,0.0,937.3619857590716,937.3619857590711,0.0,588.6138986380738,100.0,-227.32742170892743,1.5924904048781803,-0.28102426267825253,-0.28102426267825253,-28.102426267825255,0.0,31.0,31.0,100.0,58.92467999641211,121.2195792084242,1.095551488386187,1.2795012677194428,37.995,138.57,88.6848,694.844761890942,625.3602857018477,1320.2050475927897,7.443243078818409,2.2001897794774496,10.0,29.06912664735453,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.447
wind_proxy_DLR_plus_battery_scale_0.4480,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2722.5158911558983,2722.5158911558983,0.0,938.0743816468485,938.0743816468485,0.0,588.6138986380738,100.0,-226.61502582114917,1.5937006989086573,-0.28014359228841174,-0.28014359228841174,-28.014359228841172,0.0,31.0,31.0,100.0,58.92705225719001,121.2195792084242,1.095551488386187,1.2795012677194428,38.08,138.88,88.8832,696.0212897413119,626.4191607671806,1322.4404505084926,7.439203643143432,2.1988527181679394,10.0,29.069503773962765,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.448
wind_proxy_DLR_plus_battery_scale_0.4490,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2721.8034952681205,2721.8034952681205,0.0,938.7867775346263,938.7867775346263,0.0,588.6138986380738,100.0,-225.90262993337092,1.5949109929391347,-0.27926292189857094,-0.27926292189857094,-27.926292189857094,0.0,31.0,31.0,100.0,58.92942451796791,121.2195792084242,1.095551488386187,1.2795012677194428,38.165,139.19,89.08160000000001,697.1978175916818,627.4780358325136,1324.6758534241953,7.435182200500413,2.1975216125880923,10.0,29.069879220719734,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.449
wind_proxy_DLR_plus_battery_scale_0.4500,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,2721.091099380343,2721.091099380343,0.0,939.4991734224036,939.4991734224036,0.0,588.6138986380738,100.0,-161.24486280929705,1.5961212869696115,-0.199332391758962,-0.199332391758962,-19.9332391758962,0.0,30.0,30.0,100.0,58.93471624860521,121.2195792084242,1.095551488386187,1.2795012677194428,38.25,139.5,89.28000000000002,698.3743454420515,628.5369108978465,1326.911256339898,7.431178630935808,1.9360684836852076,10.0,31.924181441044144,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.45
