bus_a,bus_b,ac_component,response_zone_a,response_zone_b,same_response_zone,geographic_distance_km,electrical_response_cosine,electrical_response_distance
3934,star:4664-4662-46622-2,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9853220063771068,0.01591893366174992
3934,star:4664-4662-46621-1,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9853220063771039,0.015918933661750043
3934,4664,3,C003-Z001,C003-Z001,True,213.48534382726206,0.9853220063770821,0.015918933661751955
2312,3464,3,C003-Z001,C003-Z001,True,213.5795178387875,0.9841004729304673,0.01710220363768106
3464,4662,3,C003-Z001,C003-Z001,True,213.5795178387875,0.9841004729304664,0.017102203637681314
3464,star:4664-4662-46622-2,3,C003-Z001,C003-Z001,True,213.5795178387875,0.9841004729304558,0.01710220363768218
3464,star:4664-4662-46621-1,3,C003-Z001,C003-Z001,True,213.5795178387875,0.9841004729304527,0.0171022036376823
3464,4664,3,C003-Z001,C003-Z001,True,213.5795178387875,0.9841004729304297,0.017102203637684228
2204,3954,3,C003-Z001,C003-Z001,True,193.12792826731837,0.983112771519774,0.013857368607680198
3954,star:2204-2212-22023-3,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9831127715197522,0.013857368607679027
2212,3954,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9831127715197362,0.013857368607677731
2204,3944,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9829021183752732,0.014148468110522783
3944,star:2204-2212-22023-3,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9829021183752513,0.01414846811052159
2212,3944,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9829021183752352,0.014148468110520276
2204,3934,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9825180547850263,0.014550442249813687
3934,star:2204-2212-22023-3,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9825180547850041,0.014550442249812475
2212,3934,3,C003-Z001,C003-Z001,True,193.12792826731837,0.9825180547849875,0.014550442249811146
2204,3464,3,C003-Z001,C003-Z001,True,192.66427426729337,0.9811015479999242,0.01573337285883909
3464,star:2204-2212-22023-3,3,C003-Z001,C003-Z001,True,192.66427426729337,0.9811015479999016,0.015733372858837805
2212,3464,3,C003-Z001,C003-Z001,True,192.66427426729337,0.9811015479998852,0.015733372858836414
1281,53061,3,C003-Z001,C003-Z001,True,156.3996878862749,0.9806372684320028,0.020090186851332237
1281,5301,3,C003-Z001,C003-Z001,True,156.3996878862749,0.9806372684319999,0.020090186851332258
5361,66094,3,C003-Z001,C003-Z001,True,156.84318171714423,0.9784556956041823,0.3284519376363107
4991,66094,3,C003-Z001,C003-Z001,True,159.70360386497129,0.9784556956041813,0.3284519376363062
3954,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9782553035148867,0.02163345424585636
3944,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9780497106523043,0.021930812042907637
4371,5361,3,C003-Z001,C003-Z001,True,150.92341257740796,0.9779005354487454,0.29690359088404
4371,4991,3,C003-Z001,C003-Z001,True,154.61071953567512,0.9779005354487448,0.2969035908840355
3934,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.6981356309691,0.9777180746487476,0.02233448543187102
3464,star:3554-3551-35541-1,3,C003-Z001,C003-Z001,True,173.04653815373473,0.9764002753274957,0.023509466221687855
1611,5351,3,C003-Z001,C003-Z001,True,155.41704731444943,0.9763922168388431,0.02980223305042679
2601,5361,3,C003-Z001,C003-Z001,True,154.55504138272087,0.9747266440426865,0.29874108337421035
2601,4991,3,C003-Z001,C003-Z001,True,158.2728431980737,0.9747266440426863,0.2987410833742058
1971,5351,3,C003-Z001,C003-Z001,True,159.97442856522608,0.9739889648848916,0.03164638225593656
2731,5351,3,C003-Z001,C003-Z001,True,160.96524042472367,0.9739889648848902,0.03164638225593681
5351,16110,3,C003-Z001,C003-Z001,True,155.41704731444943,0.9739889648848724,0.03164638225593386
5351,6201,3,C003-Z001,C003-Z001,True,165.99651630099856,0.9739889648848616,0.03164638225593619
1971,3101,3,C003-Z001,C003-Z001,True,150.9221242220339,0.9733645328600865,0.03152840971488716
2731,3101,3,C003-Z001,C003-Z001,True,151.76628371029454,0.9733645328600853,0.03152840971488739
1971,31019,3,C003-Z001,C003-Z001,True,150.9221242220339,0.9733645328600852,0.03152840971488735
2731,31019,3,C003-Z001,C003-Z001,True,151.76628371029454,0.9733645328600843,0.03152840971488759
3101,6201,3,C003-Z001,C003-Z001,True,156.40945900135517,0.9733645328600541,0.03152840971488685
6201,31019,3,C003-Z001,C003-Z001,True,156.40945900135517,0.973364532860053,0.031528409714887046
5341,5361,3,C003-Z001,C003-Z001,True,153.09636217417753,0.9728920528195448,0.30809456855318557
4991,5341,3,C003-Z001,C003-Z001,True,156.47983931959683,0.9728920528195443,0.30809456855318107
3954,4481,3,C003-Z001,C003-Z001,True,153.88575440305013,0.9718518880576504,0.02614686142545247
3944,4481,3,C003-Z001,C003-Z001,True,153.88575440305013,0.9715854960607512,0.026445526159839527
3934,4481,3,C003-Z001,C003-Z001,True,153.88575440305013,0.9711451105623246,0.02685081690921327
