trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,average_absolute_power_mw,average_power_utilisation_pct,active_hours,idle_hours,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode
270836861fd7d178c09cd84d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Trillick,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050379.1027496695,2739.6509508055974,920.9393219971489,371.03669084705325,1.5645898340627105,0.45867899124541495,0.45867899124541495,45.867899124541495,0.0,61.0,61.0,100.0,64.44530397391975,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.056274584884555,24.075032779846072,67,101,10.0,31.742388103850676,90.0,True,True,False,False,False,benchmark
2eaf25ad58c79748238d8ee8,WP2033,north-west,5041-17010-2,5041-17010-2,2,Binbane;Ardnagappary,0.500000;0.500000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.830944887,2739.650950805598,920.9393219971485,356.4334256346483,1.5645898340627096,0.4406262996336405,0.4406262996336405,44.062629963364046,0.0,63.0,63.0,100.0,64.52006065550852,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,69,99,10.0,30.3344490459278,90.0,True,True,False,False,False,benchmark
37bf24a52d64c5a282ce38e8,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,lifetime_eol,10.0,90.0,90.0,80.0,90.0,440.0,281.6,4.888888888888889,3.128888888888889,True,,-4066526.4059240385,2607.098236348873,1053.4920364538734,1263.8534275785496,1.789784507113114,1.5623873043939778,1.5623873043939778,156.23873043939778,0.0,68.0,68.0,100.0,64.81936078926499,1818.9377814091008,1637.0440032681904,3455.981784677291,3.927252028042376,6.1363312938162125,0,0.0,20.571320146888638,22.85702238543182,70,98,10.0,30.984688658297166,90.0,True,True,True,False,True,benchmark
38adf5cccefe1416c6b97b5d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,50.0,150.0,150.0,3.0,3.0,True,,-4019689.6910528312,3073.5975892460096,586.9926835567367,927.9216139197888,0.9972457071008886,1.147105287231532,0.9972457071008886,99.72457071008886,0.0,60.0,60.0,100.0,63.87304992576441,1040.920115326374,1040.920115326374,2081.840230652748,6.939467435509159,6.939467435509159,0,0.0,12.391906134837784,24.78381226967557,61,107,0.0,25.8486909680147,100.0,True,True,True,False,True,benchmark
39930db732d6bef34b7b927c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,190.0,575.0,575.0,3.026315789473684,3.026315789473684,True,,-4154584.2509787166,1772.5956254522882,1887.994647350458,1500.8163656574834,3.2075264476745664,1.8553230815875024,1.8553230815875024,185.53230815875023,0.0,68.0,68.0,100.0,66.80734389580765,2952.675074292785,2952.6750742927848,5905.35014858557,5.135087085726583,5.135087085726583,0,0.0,35.150893741580774,18.500470390305672,73,95,0.0,33.102031050194356,100.0,True,True,True,False,True,benchmark
417bb09b5d5af584ce98b1e0,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,50.0,350.0,350.0,7.0,7.0,True,,-4072811.7547114766,2581.248437375498,1079.3418354272485,1120.3494103646444,1.8337008995618584,1.3849863101551854,1.3849863101551854,138.49863101551853,0.0,62.0,62.0,100.0,64.88510018689384,1764.4060266774313,1764.406026677431,3528.8120533548627,5.0411600762212325,5.0411600762212325,0,0.0,21.004833650921803,42.00966730184361,87,81,0.0,28.532584089869836,100.0,True,True,True,False,True,benchmark
426f40c2d2d9567f79ed2746,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,425.0,340.0,3.5416666666666665,2.8333333333333335,True,,-4086705.376018563,2422.421220995039,1238.169051807707,771.274020579498,2.1035334956795353,0.9534560825388224,0.9534560825388224,95.34560825388225,0.0,65.0,65.0,100.0,65.0503105028895,2126.732806998823,1914.0595262989402,4040.7923332977634,4.753873333291486,5.942341666614358,0,0.0,24.052335317248588,20.043612764373826,68,100,10.0,32.48486062057796,90.0,True,True,False,False,False,benchmark
48d2f30d085e91f85b2af86e,WP2033,north-west,5041-17010-2,5041-17010-2,2,Croaghonagh;Ardnagappary,0.500000;0.500000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448906,2739.650950805598,920.9393219971485,-270.5080266548721,1.5645898340627096,-0.3344045261577396,-0.3344045261577396,-33.44045261577396,0.0,64.0,64.0,100.0,64.5279982161229,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.056274584884555,24.075032779846072,70,98,10.0,30.770248395563765,90.0,True,True,False,False,False,benchmark
4c51dcef9437db656ef1759c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,120.0,480.0,480.0,4.0,4.0,True,,-4132340.592140179,2057.5956254522885,1602.9946473504579,989.1118072799945,2.723338084709592,1.2227491705911442,1.2227491705911442,122.27491705911441,0.0,69.0,69.0,100.0,66.21166260561822,2622.894239490076,2622.8942394900764,5245.788478980152,5.464362998937658,5.464362998937658,0,0.0,31.22493142250091,26.020776185417425,79,89,0.0,29.925430183524874,100.0,True,True,True,False,True,benchmark
4c77a762dcd0c2b11fd6894e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,190.0,425.0,340.0,2.236842105263158,1.7894736842105263,True,,-4087308.964210122,2422.421220995039,1238.169051807707,1205.138807638432,2.1035334956795353,1.4898037478082153,1.4898037478082153,148.98037478082153,0.0,65.0,65.0,100.0,65.10216639885574,2126.732806998823,1914.0595262989402,4040.7923332977634,4.753873333291486,5.942341666614358,0,0.0,24.05233531724859,12.659123851183468,61,107,10.0,33.16393184694338,90.0,True,True,True,False,True,benchmark
