snapshot,flow_abs_mw__5041-17010-2,static_rating_mva__5041-17010-2,s_max_pu__5041-17010-2,dynamic_rating_mva__5041-17010-2,dynamic_loading_pct__5041-17010-2,target_aggregate_abs_flow_mw,target_aggregate_dynamic_rating_mva,target_max_dynamic_loading_pct,battery_charge_mw,battery_discharge_mw,battery_net_discharge_mw,battery_model_soc_mwh,battery_physical_soc_pct,battery_hourly_throughput_mw
2030-01-14 22:00:00,221.04765799253377,210.0,1.0526078952025417,221.04765799253377,100.0,221.04765799253377,221.04765799253377,100.0,0.0,126.75907985281577,126.75907985281577,0.0,10.0,126.75907985281577
2030-01-14 23:00:00,238.73959333943688,210.0,1.1368552063782709,238.73959333943688,100.0,238.73959333943688,238.73959333943688,100.0,0.0,0.0,0.0,0.0,10.0,0.0
2030-01-15 00:00:00,245.01953451133102,210.0,1.193702183897782,250.67745861853422,97.74294659823678,245.01953451133102,250.67745861853422,97.74294659823678,1.223541508284697,0.0,-1.223541508284697,1.1607533933812264,10.219839657837355,1.223541508284697
2030-01-15 01:00:00,241.89038033278084,210.0,1.2115763427967607,254.43103198731976,95.0710997960485,241.89038033278084,254.43103198731976,95.0710997960485,42.32076457334982,0.0,-42.32076457334982,41.30975590484608,17.823817406220847,42.32076457334982
2030-01-15 02:00:00,229.99418928627745,210.0,1.214096932150196,254.96035575154116,90.2078241177255,229.99418928627745,254.96035575154116,90.2078241177255,41.33764424819282,0.0,-41.33764424819282,80.52608858386048,25.25115314088267,41.33764424819282
2030-01-15 03:00:00,213.13861539981195,210.0,1.2470235645971537,261.8749485654023,81.38946339366302,213.13861539981195,261.8749485654023,81.38946339366302,125.04399223478265,0.0,-125.04399223478265,199.1532355385569,47.71841582169639,125.04399223478265
2030-01-15 04:00:00,205.59616419815853,210.0,1.2569787750913683,263.9655427691874,77.88750078563577,205.59616419815853,263.9655427691874,77.88750078563577,135.0,0.0,-135.0,327.22548077537624,71.97452287412429,135.0
2030-01-15 05:00:00,215.39804827489223,210.0,1.2425970586629995,260.9453823192299,82.54526152579434,215.39804827489223,260.9453823192299,82.54526152579434,100.32275198709789,0.0,-100.32275198709789,422.40000000000003,90.00000000000001,100.32275198709789
2030-01-15 06:00:00,225.1722813735487,210.0,1.205225754787493,253.09740850537352,88.96664833641236,225.1722813735487,253.09740850537352,88.96664833641236,0.0,0.0,0.0,422.40000000000003,90.00000000000001,0.0
2030-01-15 07:00:00,243.30675685571057,210.0,1.1586036040748122,243.30675685571057,100.0,243.30675685571057,243.30675685571057,100.0,0.0,19.92483246986147,19.92483246986147,401.39738246598654,86.02223152764896,19.92483246986147
2030-01-15 08:00:00,246.70719132091602,210.0,1.1805548367233565,247.91651571190485,99.51220499065333,246.70719132091602,247.91651571190485,99.51220499065333,0.0,0.0,0.0,401.39738246598654,86.02223152764896,0.0
