bus,ac_component,response_zone_id,component_zone_count,component_silhouette,feature_norm,active_mode_count,clustering_basis
1661,3,C003-Z001,2,0.9199313160476971,0.024813894753597965,8,centered_event_weighted_directional_ptdf
1671,3,C003-Z001,2,0.9199313160476971,0.006277850678659141,8,centered_event_weighted_directional_ptdf
1681,3,C003-Z001,2,0.9199313160476971,0.005672479460929702,8,centered_event_weighted_directional_ptdf
1691,3,C003-Z001,2,0.9199313160476971,0.00912862479290141,8,centered_event_weighted_directional_ptdf
1701,3,C003-Z001,2,0.9199313160476971,0.19505468154781094,8,centered_event_weighted_directional_ptdf
1711,3,C003-Z001,2,0.9199313160476971,0.009870461521786186,8,centered_event_weighted_directional_ptdf
1721,3,C003-Z001,2,0.9199313160476971,0.004879432529520171,8,centered_event_weighted_directional_ptdf
1731,3,C003-Z001,2,0.9199313160476971,0.009870461521787888,8,centered_event_weighted_directional_ptdf
1741,3,C003-Z001,2,0.9199313160476971,0.009128624792901077,8,centered_event_weighted_directional_ptdf
1742,3,C003-Z001,2,0.9199313160476971,0.00912862479293714,8,centered_event_weighted_directional_ptdf
1751,3,C003-Z001,2,0.9199313160476971,0.005747041095544643,8,centered_event_weighted_directional_ptdf
1761,3,C003-Z001,2,0.9199313160476971,0.19505468154779687,8,centered_event_weighted_directional_ptdf
1781,3,C003-Z001,2,0.9199313160476971,0.00493682196904872,8,centered_event_weighted_directional_ptdf
1791,3,C003-Z001,2,0.9199313160476971,0.006732132810595974,8,centered_event_weighted_directional_ptdf
1801,3,C003-Z001,2,0.9199313160476971,0.009031671790823101,8,centered_event_weighted_directional_ptdf
1810,3,C003-Z001,2,0.9199313160476971,0.009878810514116073,8,centered_event_weighted_directional_ptdf
1811,3,C003-Z001,2,0.9199313160476971,0.009224378693405411,8,centered_event_weighted_directional_ptdf
1821,3,C003-Z001,2,0.9199313160476971,0.014421050554834069,8,centered_event_weighted_directional_ptdf
1831,3,C003-Z001,2,0.9199313160476971,0.27671163368837765,8,centered_event_weighted_directional_ptdf
1841,3,C003-Z001,2,0.9199313160476971,0.007882243744623988,8,centered_event_weighted_directional_ptdf
1851,3,C003-Z001,2,0.9199313160476971,0.009128624792895532,8,centered_event_weighted_directional_ptdf
1861,3,C003-Z001,2,0.9199313160476971,0.04404548332477619,8,centered_event_weighted_directional_ptdf
