left_mode_id,right_mode_id,ac_component,membership_jaccard,positive_relief_cosine,pair_passes_thresholds,merged
T3662-36671-1::+1,2561-3781-1::+1,3,0.0,0.0,False,False
2742-3662-1::+1,2781-4951-1::-1,3,0.0,0.0,False,False
2742-3662-1::+1,1122-11260-1::-1,3,0.0,0.09598988334640998,False,False
2742-3662-1::+1,T3464-3462-34641-1-w1::+1,3,0.0,0.11268163318078334,False,False
2742-3662-1::+1,T3464-3462-34641-1-w2::-1,3,0.0,0.11632459156628956,False,False
2742-3662-1::+1,T3934-3942-39402-1-w1::+1,3,0.0,0.11247717206243144,False,False
2742-3662-1::+1,1122-1742-1::+1,3,0.0,0.4147597194213865,False,False
2742-3662-1::+1,3621-5301-1::+1,3,0.0,2.858772986101412e-14,False,False
2742-3662-1::+1,3082-3122-1::-1,3,0.0,0.3182497180127799,False,False
2742-3662-1::+1,T54640-54630-1::+1,3,0.0,0.0,False,False
2742-3662-1::+1,3691-4041-1::+1,3,0.0,0.38739145531479047,False,False
2742-3662-1::+1,2561-3781-1::+1,3,0.0,0.0,False,False
2781-4951-1::-1,1122-11260-1::-1,3,0.0,2.4053308654612083e-14,False,False
2781-4951-1::-1,T3464-3462-34641-1-w1::+1,3,0.024691358024691357,0.05917584416913222,False,False
2781-4951-1::-1,T3464-3462-34641-1-w2::-1,3,0.022641509433962263,0.061088978826888025,False,False
2781-4951-1::-1,T3934-3942-39402-1-w1::+1,3,0.024691358024691357,0.062499091612984656,False,False
2781-4951-1::-1,1122-1742-1::+1,3,0.0,0.0012492140310155597,False,False
2781-4951-1::-1,3621-5301-1::+1,3,0.0,0.0,False,False
2781-4951-1::-1,3082-3122-1::-1,3,0.0,0.0068825754187815955,False,False
2781-4951-1::-1,T54640-54630-1::+1,3,0.0,0.08278984825937025,False,False
2781-4951-1::-1,3691-4041-1::+1,3,0.20689655172413793,0.0862917528850938,False,False
2781-4951-1::-1,2561-3781-1::+1,3,0.00804289544235925,0.08968219133318239,False,False
1122-11260-1::-1,T3464-3462-34641-1-w1::+1,3,0.0,1.394979187806181e-13,False,False
1122-11260-1::-1,T3464-3462-34641-1-w2::-1,3,0.0,1.4145386744774418e-13,False,False
1122-11260-1::-1,T3934-3942-39402-1-w1::+1,3,0.0,1.4027055460447547e-13,False,False
1122-11260-1::-1,1122-1742-1::+1,3,0.010101010101010102,0.32545374005621147,False,False
1122-11260-1::-1,3621-5301-1::+1,3,0.0,1.4992142669980723e-26,False,False
1122-11260-1::-1,3082-3122-1::-1,3,0.008888888888888889,0.17049510592821415,False,False
1122-11260-1::-1,T54640-54630-1::+1,3,0.0,7.712062785023768e-15,False,False
1122-11260-1::-1,3691-4041-1::+1,3,0.0,0.002111813115183746,False,False
1122-11260-1::-1,2561-3781-1::+1,3,0.002680965147453083,0.05177803730797512,False,False
T3464-3462-34641-1-w1::+1,T3464-3462-34641-1-w2::-1,3,0.9097744360902256,0.9686828181690516,False,False
T3464-3462-34641-1-w1::+1,T3934-3942-39402-1-w1::+1,3,1.0,0.9482225945520402,False,False
T3464-3462-34641-1-w1::+1,1122-1742-1::+1,3,0.5528169014084507,0.291876081655634,False,False
T3464-3462-34641-1-w1::+1,3621-5301-1::+1,3,0.00823045267489712,0.05044609921838283,False,False
T3464-3462-34641-1-w1::+1,3082-3122-1::-1,3,0.5145631067961165,0.2272918879103994,False,False
T3464-3462-34641-1-w1::+1,T54640-54630-1::+1,3,0.0,0.14741825344752663,False,False
T3464-3462-34641-1-w1::+1,3691-4041-1::+1,3,0.0967741935483871,0.13826178140985834,False,False
T3464-3462-34641-1-w1::+1,2561-3781-1::+1,3,0.3257372654155496,0.5235831632043707,False,False
T3464-3462-34641-1-w2::-1,T3934-3942-39402-1-w1::+1,3,0.9097744360902256,0.9712708289470185,False,False
T3464-3462-34641-1-w2::-1,1122-1742-1::+1,3,0.5433333333333333,0.30066183692982257,False,False
T3464-3462-34641-1-w2::-1,3621-5301-1::+1,3,0.007547169811320755,0.05207700422899331,False,False
T3464-3462-34641-1-w2::-1,3082-3122-1::-1,3,0.5076923076923077,0.2327494718322309,False,False
T3464-3462-34641-1-w2::-1,T54640-54630-1::+1,3,0.0,0.15218423480053794,False,False
T3464-3462-34641-1-w2::-1,3691-4041-1::+1,3,0.10943396226415095,0.14150920651530596,False,False
T3464-3462-34641-1-w2::-1,2561-3781-1::+1,3,0.3552278820375335,0.5311255577883248,False,False
T3934-3942-39402-1-w1::+1,1122-1742-1::+1,3,0.5528169014084507,0.28795393500430255,False,False
T3934-3942-39402-1-w1::+1,3621-5301-1::+1,3,0.00823045267489712,0.050283122133907454,False,False
T3934-3942-39402-1-w1::+1,3082-3122-1::-1,3,0.5145631067961165,0.22493286766574652,False,False
T3934-3942-39402-1-w1::+1,T54640-54630-1::+1,3,0.0,0.1466806034384789,False,False
T3934-3942-39402-1-w1::+1,3691-4041-1::+1,3,0.0967741935483871,0.14209931119706656,False,False
T3934-3942-39402-1-w1::+1,2561-3781-1::+1,3,0.3257372654155496,0.5237403445115437,False,False
1122-1742-1::+1,3621-5301-1::+1,3,0.010101010101010102,0.039630494456667546,False,False
1122-1742-1::+1,3082-3122-1::-1,3,0.8634361233480177,0.61561868054605,False,False
1122-1742-1::+1,T54640-54630-1::+1,3,0.0,0.07930167583717007,False,False
1122-1742-1::+1,3691-4041-1::+1,3,0.0,0.03891333263583344,False,False
1122-1742-1::+1,2561-3781-1::+1,3,0.26541554959785524,0.3793889615698551,False,False
3621-5301-1::+1,3082-3122-1::-1,3,0.008888888888888889,0.02632245878128205,False,False
3621-5301-1::+1,T54640-54630-1::+1,3,0.0,0.10110677739979894,False,False
3621-5301-1::+1,3691-4041-1::+1,3,0.0,0.009365064684103983,False,False
3621-5301-1::+1,2561-3781-1::+1,3,0.002680965147453083,0.05177803730860208,False,False
3082-3122-1::-1,T54640-54630-1::+1,3,0.0,0.056933615165158005,False,False
3082-3122-1::-1,3691-4041-1::+1,3,0.0,0.033264806770740014,False,False
3082-3122-1::-1,2561-3781-1::+1,3,0.30160857908847183,0.399748764447665,False,False
T54640-54630-1::+1,3691-4041-1::+1,3,0.0,0.024907960363146336,False,False
T54640-54630-1::+1,2561-3781-1::+1,3,0.0,0.0,False,False
3691-4041-1::+1,2561-3781-1::+1,3,0.0388739946380697,0.1975004670965788,False,False
